date,day_of_week,is_weekend,exam_week,special_event,temperature_c,menu_type,expected_attendance,meals_consumed,meals_prepared,leftover_meals,plate_waste_kg
2025-01-01,Wednesday,0,0,0,30.8,Mixed,404,353,379,26,8.4
2025-01-02,Thursday,0,0,0,31.4,Light,407,382,411,29,8.3
2025-01-03,Friday,0,0,0,31.4,Punjabi,405,384,420,36,9.4
2025-01-04,Saturday,1,0,0,29.7,North Indian,359,335,379,44,7.8
2025-01-05,Sunday,1,0,0,30.1,North Indian,352,311,328,17,8.8
2025-01-06,Monday,0,0,0,23.7,Mixed,428,411,443,32,10.6
2025-01-07,Tuesday,0,0,0,28.4,Mixed,421,383,403,20,8.6
2025-01-08,Wednesday,0,0,0,22.7,Punjabi,442,405,431,26,11.0
2025-01-09,Thursday,0,0,0,25.3,Punjabi,431,424,437,13,8.9
2025-01-10,Friday,0,0,1,27.7,Mixed,472,455,485,30,10.9
2025-01-11,Saturday,1,0,0,25.2,North Indian,355,318,338,20,8.0
2025-01-12,Sunday,1,0,0,30.3,South Indian,371,329,338,9,6.1
2025-01-13,Monday,0,0,0,29.0,Mixed,405,395,416,21,11.0
2025-01-14,Tuesday,0,0,0,22.2,Light,416,370,398,28,9.6
2025-01-15,Wednesday,0,0,0,27.4,Mixed,398,382,421,39,9.2
2025-01-16,Thursday,0,0,0,28.1,Punjabi,422,421,459,38,8.7
2025-01-17,Friday,0,0,0,25.1,South Indian,406,389,400,11,8.2
2025-01-18,Saturday,1,0,0,37.0,Punjabi,377,341,346,5,8.9
2025-01-19,Sunday,1,0,0,23.9,North Indian,358,337,360,23,6.9
2025-01-20,Monday,0,0,0,26.7,Mixed,412,404,424,20,8.3
2025-01-21,Tuesday,0,0,1,37.6,Mixed,454,442,475,33,11.6
2025-01-22,Wednesday,0,0,0,23.7,North Indian,419,384,397,13,9.9
2025-01-23,Thursday,0,0,0,26.4,Punjabi,422,424,445,21,12.3
2025-01-24,Friday,0,0,0,27.9,Light,443,405,445,40,9.9
2025-01-25,Saturday,1,0,0,21.5,South Indian,386,349,373,24,8.5
2025-01-26,Sunday,1,0,1,27.5,Mixed,431,375,392,17,7.5
2025-01-27,Monday,0,0,0,31.6,Mixed,414,390,412,22,11.3
2025-01-28,Tuesday,0,0,0,26.2,Light,440,401,427,26,8.4
2025-01-29,Wednesday,0,0,0,39.6,Punjabi,423,397,408,11,9.0
2025-01-30,Thursday,0,0,1,23.4,Mixed,483,442,457,15,10.3
2025-01-31,Friday,0,0,0,26.5,Light,436,403,416,13,8.4
2025-02-01,Saturday,1,0,0,21.1,Punjabi,408,395,411,16,9.5
2025-02-02,Sunday,1,0,0,25.1,North Indian,371,323,345,22,8.4
